IMDB id,Title,Year,Rating,Genre,Top_cast
tt0375611,Black,2005,8.1,Drama,"['Amitabh Bachchan', 'Rani Mukerji', 'Shernaz Patel', 'Ayesha Kapur', 'Dhritiman Chatterjee']"
tt2181931,English Vinglish,2012,7.8,"Comedy, Drama, Family","['Sridevi', 'Adil Hussain', 'Mehdi Nebbou', 'Priya Anand', 'Sujata Kumar']"
tt7431594,Race 3,2018,1.9,"Action, Crime, Thriller","['Anil Kapoor', 'Salman Khan', 'Bobby Deol', 'Jacqueline Fernandez', 'Daisy Shah']"
tt1620933,Paan Singh Tomar,2012,8.2,"Action, Biography, Crime","['Irrfan Khan', 'Mahie Gill', 'Rajesh Abhay', 'Hemendra Dandotiya', 'Navneet Gairola']"
tt0347473,Main Hoon Na,2004,7.0,"Action, Comedy, Drama","['Shah Rukh Khan', 'Sushmita Sen', 'Suniel Shetty', 'Zayed Khan', 'Amrita Rao']"
tt4535650,Dilwale,2015,5.0,"Action, Comedy, Drama","['Shah Rukh Khan', 'Kajol', 'Varun Dhawan', 'Kriti Sanon', 'Varun Sharma']"
tt4169250,M.S. Dhoni: The Untold Story,2016,8.0,"Biography, Drama, Sport","['Sushant Singh Rajput', 'Kiara Advani', 'Anupam Kher', 'Disha Patani', 'Bhoomika Chawla']"
tt0439662,Fanaa,2006,7.1,"Action, Drama, Romance","['Aamir Khan', 'Kajol', 'Rishi Kapoor', 'Tabu', 'Kirron Kher']"
tt3735246,Bajirao Mastani,2015,7.2,"Action, Drama, History","['Ranveer Singh', 'Deepika Padukone', 'Priyanka Chopra Jonas', 'Tanvi Azmi', 'Mahesh Manjrekar']"
tt0449994,Jodhaa Akbar,2008,7.5,"Action, Drama, History","['Hrithik Roshan', 'Aishwarya Rai Bachchan', 'Sonu Sood', 'Poonam Sinha', 'Suhasini Mulay']"
tt2359810,Raanjhanaa,2013,7.6,"Drama, Romance","['Dhanush', 'Sonam Kapoor', 'Mohd. Zeeshan Ayyub', 'Swara Bhasker', 'Abhay Deol']"
